Ray,黃怪8,1.5,0
Francis,羽川,1.5,1
Francis,忍野忍,1.5,1
Eric,羽川,2.5,0
YWH,紅巨人,1.5,0
Ray,電王,1.5,1
YWH,早乙女,1.5,0
Ray,555,2.5,1
YWH,手指,1.5,1
Eric,羽川,2.5,0
YWH,手指,1.5,1
Francis,忍野忍,1.5,0
Francis,忍野忍,1.5,1
Ray,電王,1.5,0
Eric,羽川,2.5,1
Ray,電王,1.5,0
Eric,黃EMT,1.5,1
Francis,忍野忍,1.5,0
YWH,紅巨人,1.5,1
Eric,黃EMT,1.5,0
Eric,黃EMT,1.5,0
Francis,紫EMT,1.5,1
YMH,紫坂,1.5,1
YWH,手指,1.5,0
YMH,黃坂,1.5,0
YWH,早乙女,1.5,1
YMH,綠雀頭,1.5,1
Eric,黃EMT,1.5,0
YWH,早乙女,1.5,0
Francis,紫EMT,1.5,1
YWH,兵長,2,0
Francis,忍野忍,1.5,1
YWH,早乙女,1.5,0
Eric,黃EMT,1.5,1
LYP,紅劍心,1,0
Eric,黃EMT,1.5,1
LYP,紅劍心,1,1
Eric,黃EMT,1.5,0
LYP,紫SAO,1.5,0
Eric,黃EMT,1.5,1
Francis,忍野忍,1.5,1
Ray,555,2.5,0
YWH,早乙女,1.5,1
Ray,黃怪8,1.5,0
LYP,千石,2,0
YWH,火花,2,1
LYP,千石,2,1
YWH,火花,2,0
LYP,紅劍心,1,1
YWH,紅巨人,1.5,0
Eric,黃EMT,1.5,0
Francis,紫EMT,1.5,1
Eric,黃EMT,1.5,0
Francis,紫EMT,1.5,1
YWH,紅巨人,1.5,0
Francis,忍野忍,1.5,1
YWH,紅巨人,1.5,1
Francis,忍野忍,1.5,0
YWH,早乙女,1.5,1
Nam,藍史,1.5,0
Nam,蘭花,1.5,1
YWH,紅巨人,1.5,0
YWH,手指,1.5,0
Nam,綠史,2.5,1
Nam,蘭花,1.5,0
Francis,忍野忍,1.5,1
Nam,紫史,2,0
Francis,忍野忍,1.5,1
Francis,紫EMT,1.5,1
Nam,龍女,2.5,0
Nam,鬼人,2.5,1
Eric,羽川,2.5,0
Nam,黃小㘣,1.5,1
LYP,千石,2,0
LYP,紅劍心,1,0
Nam,藍史,1.5,1
Francis,忍野忍,1.5,1
LYP,綠一拳,1.5,0
Francis,忍野忍,1.5,1
LYP,綠一拳,1.5,0
YMH,紫坂,1.5,1
YWH,火花,2,0
LYP,綠一拳,1.5,0
YMH,紫坂,1.5,1
LYP,綠一拳,1.5,1
YMH,黃綠谷,2,0
LYP,紅劍心,1,1
Ray,黃怪8,1.5,0
LYP,紅劍心,1,1
Ray,黃怪8,1.5,0
LYP,紫SAO,1.5,0
Ray,紫EMT,1.5,1
YWH,空挺隊,2.5,1
Eric,羽川,2.5,0
YWH,紅巨人,1.5,1
Eric,羽川,2.5,0
YWH,兵長,2,0
Eric,羽川,2.5,1
Francis,忍野忍,1.5,0
YWH,火花,2,1
Eric,羽川,2.5,0
Nam,紫史,2,1
Nam,紫小圓,3,1
Eric,羽川,2.5,0
Eric,羽川,2.5,1
Nam,龍女,2.5,0
YWH,熱氣,1.5,0
Nam,龍女,2.5,1
YWH,火花,2,0
Nam,鬼人,2.5,1
YWH,上校,2.5,0
Nam,紫小圓,3,1
Francis,忍野忍,1.5,1
Nam,紫小圓,3,0
Francis,忍野忍,1.5,1
Nam,紫小圓,3,0
Francis,忍野忍,1.5,1
Nam,蘭花,1.5,0
YWH,熱氣,1.5,0
YMH,雀頭,1.5,1
YWH,紫EMT,1.5,1
YMH,紫坂,1.5,0
YMH,雀頭,1.5,1
Francis,忍野忍,1.5,0
YMH,紫坂,1.5,1
Francis,鬼人,2.5,0
YMH,黃坂,1.5,1
Francis,忍野忍,1.5,0
YMH,黃追,1.5,0
YWH,綠一拳,1.5,1
YMH,雀頭,1.5,1
Eric,羽川,2.5,0
YMH,黃坂,1.5,0
Eric,黃EMT,1.5,1
YMH,紫坂,1.5,0
Eric,八九寺,1.5,1
Francis,鬼人,2.5,1
Eric,八九寺,1.5,0
Eric,羽川,2.5,0
Ray,電王,1.5,1
Francis,紫EMT,1.5,1
Ray,黃怪8,1.5,0
Francis,忍野忍,1.5,1
Ray,碧翠詩,1.5,0
Francis,紫EMT,1.5,1
Ray,電王,1.5,0
Ray,黃怪8,1.5,0
YWH,綠一拳,1.5,1
Ray,電王,1.5,0
YWH,熱氣,1.5,1
Ray,555,2.5,0
YWH,紅巨人,1.5,1
Eric,羽川,2.5,1
Ray,追擊,1.5,0
Ray,碧翠詩,1.5,1
Eric,八九寺,1.5,0
Ray,黃小圓,1.5,0
YMH,紫坂,1.5,1
Ray,黃小圓,1.5,0
YMH,雀頭,1.5,1
Ray,黃小圓,1.5,0
YMH,雀頭,1.5,1
LYP,紅劍心,1,0
Nam,藍史,1.5,1
LYP,綠一拳,1.5,0
Nam,紫史,2,1
LYP,米特,2,0
Nam,蘭花,1.5,1
YMH,紫坂,1.5,1
Nam,綠史,2.5,0
Eric,黃EMT,1.5,0
Francis,忍野忍,1,1
Eric,八九寺,1.5,1
Francis,紫EMT,1.5,0
Eric,羽川,2.5,1
Francis,忍野忍,1,0
LYP,GGO,1.5,0
YWH,熱氣,1.5,1
TTW,忍野忍,1,1
YWH,綠一拳,1.5,0
TTW,手指,1.5,1
YWH,火花,2,0
TTW,忍野忍,1,0
YWH,紅巨人,1.5,1
Eric,八九寺,1.5,1
Francis,紫EMT,1,0
Ray,綠怪8,2.5,0
Francis,紫EMT,1.5,1
YWH,紫坂,1.5,1
Eric,八九寺,1.5,0
Ray,碧翠詩,1.5,1
Francis,紫EMT,1.5,0
YWH,紅巨人,1.5,1
Eric,羽川,2.5,0
YWH,紫坂,1.5,1
Francis,忍野忍,1,0
YWH,紅巨人,1.5,1
Francis,紫EMT,1.5,0
YWH,火花,2,0
Francis,雷拉,1,1
